title,name,medium,country,accessionyear,link,tag,wikidata
"Outline Drawing of ""Sassafras Linen Press""",Byrdcliffe Arts and Crafts Colony,Graphite,,1991,https://www.metmuseum.org/art/collection/search/404907,"[{'term': 'Furniture', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300037680', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q14745'}]",
Groupe dans le parc du château de La Faloise,Edouard Baldus,Salted paper print from glass negative,,2005,https://www.metmuseum.org/art/collection/search/283131,"[{'term': 'Gardens', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300008090', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1107656'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",https://www.wikidata.org/wiki/Q96998420
Prose Poem on Fishing,Zhu Yunming,Handscroll; ink on gold-flecked paper,,1989,https://www.metmuseum.org/art/collection/search/45749,"[{'term': 'Poetry', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300055931', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q482'}]",
Seated Dervish,,Ink and watercolor on paper,Iran,1945,https://www.metmuseum.org/art/collection/search/450594,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",
Chair back and seat cover,Séguin et Cie,Brocaded silk,,1928,https://www.metmuseum.org/art/collection/search/222132,"[{'term': 'Flowers', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132399', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q506'}]",
Grand Piano,John Broadwood & Sons,Wood and various materials,England,1980,https://www.metmuseum.org/art/collection/search/504295,,
Chamber Organ,Samuel Green,"Mahogany, cloth, ivory, ebony, brass",United Kingdom,1993,https://www.metmuseum.org/art/collection/search/503447,,
David and Goliath,Francesco Fanelli,Bronze,,1982,https://www.metmuseum.org/art/collection/search/207021,"[{'term': 'Swords', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300037048', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q12791'}, {'term': 'David', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001014', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q41370'}]",https://www.wikidata.org/wiki/Q116307580
Horse figurine,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325974,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",
Handle,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325998,,
Two-handled jar,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325976,,
Bowl,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325971,,
Shallow bowl,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326152,,
Two-handled jar,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326151,,
Bowl,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326153,,
Small jar,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326154,,
,,,,,,,
Funerary Carving (Malagan),,"Wood, paint, shell, resin",Papua New Guinea,2007,https://www.metmuseum.org/art/collection/search/319853,"[{'term': 'Human Figures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404114', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5937779'}, {'term': 'Fish', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266085', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q152'}, {'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}]",
"[Women Grinding Paint, Calcutta]",Unknown,Daguerreotype,,2005,https://www.metmuseum.org/art/collection/search/283160,"[{'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Working', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300412186', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q6958747'}]",https://www.wikidata.org/wiki/Q96803013
Architectural Ornament,,"Wood, paint.",Indonesia,2013,https://www.metmuseum.org/art/collection/search/626669,,
,,,,,,,
,,,,,,,
Pipe Organ,Richard M. Ferris,"Wood, metal, various materials",United States,1986,https://www.metmuseum.org/art/collection/search/500527,,
Handle,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325973,,
"Trastevere, Rome",Mario De Biasi,Gelatin silver print,,2018,https://www.metmuseum.org/art/collection/search/771695,"[{'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",
Christ Blessing,Gerard David,Oil on wood,,2009,https://www.metmuseum.org/art/collection/search/439327,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}]",https://www.wikidata.org/wiki/Q19911527
,,,,,,,
"St. Cecilia, Playing the Organ",Gerrit Pietersz. Sweelink,Etching; second state of two,,1949,https://www.metmuseum.org/art/collection/search/749845,,
